activity_id,date,type,distance_km,duration_min,pace_min_km,avg_hr,max_hr,cadence,stride_length_cm,vertical_oscillation,ground_contact_time,elevation_gain,elevation_loss,aerobic_te,anaerobic_te,vo2_max,calories,workload,acute,chronic,acwr
21837152646,2026-02-11 18:29:54,running,5.01,30.3,6.05,165.0,178.0,0,102.1,9.280000305175781,275.1000061035156,94.31512451171875,92.658447265625,3.5,0.0,49.0,379.0,8.266499999999999,6.101999999999999,6.107377272727273,0.9991195446937122
21852612221,2026-02-13 09:03:24,running,5.02,30.1,6.0,164.0,177.0,0,101.5,9.130000305175782,271.1000061035156,87.48272705078125,83.7823486328125,3.5,0.0,49.0,377.0,8.2328,7.200971428571428,6.19978695652174,1.161486915449008
21861866887,2026-02-14 08:22:11,running,10.01,62.41,6.23,161.0,173.0,0,96.2,8.680000305175781,267.29998779296875,192.22515869140625,205.2119140625,4.0,0.0,49.0,747.0,16.1161,8.866457142857143,6.612966666666666,1.3407684613850281
21882274533,2026-02-16 07:40:06,running,10.49,63.05,6.01,167.0,177.0,0,101.7,9.040000152587892,268.3999938964844,149.9532814025879,113.00532531738281,4.400000095367432,0.0,49.0,795.0,17.5183,10.202457142857142,7.04918,1.4473253829320776
21892501247,2026-02-17 07:47:21,running,6.01,32.24,5.36,170.0,194.0,0,112.0,9.380000305175782,257.3999938964844,52.941410064697266,46.74935531616211,3.799999952316284,2.5,49.0,426.0,10.216999999999999,11.530542857142857,7.171019230769231,1.6079364015184747
21928501006,2026-02-20 16:24:52,running,7.12,42.04,5.9,162.0,173.0,0,102.8,9.080000305175782,266.8999938964844,101.32244873046875,113.73675537109375,3.5999999046325684,0.0,49.0,522.0,11.534400000000002,11.737457142857142,7.332625925925925,1.6007167502377393
21934518511,2026-02-21 09:24:58,running,7.02,46.07,6.56,157.0,173.0,0,91.5,8.380000305175782,269.0,107.9000244140625,120.9122314453125,3.4000000953674316,0.0,49.0,540.0,11.0214,11.843785714285714,7.464367857142856,1.5867098113274352
21955293620,2026-02-23 07:43:02,indoor_running,8.11,48.02,5.92,161.0,173.0,0,107.2,9.600000000000001,276.79998779296875,0.0,0.0,3.9000000953674316,0.30000001192092896,0.0,600.0,13.0571,12.528157142857141,7.748810714285715,1.6167845111715298
21977238703,2026-02-25 07:35:20,indoor_running,5.23,30.58,5.85,166.0,179.0,0,107.2,9.469999694824219,271.70001220703125,0.0,0.0,3.5,0.10000000149011612,0.0,396.0,8.6818,12.5923,7.669803571428571,1.6418021508280385
22000834813,2026-02-27 10:43:17,running,9.06,53.95,5.95,160.0,180.0,0,101.6,9.05,267.5,177.38909912109375,190.99267578125,3.799999952316284,0.0,50.0,670.0,14.496000000000002,12.360857142857142,7.875017857142857,1.5696290938115787
22010232564,2026-02-28 09:03:33,running,10.03,63.44,6.33,161.0,176.0,0,96.0,8.680000305175781,268.6000061035156,215.18008422851562,219.53732299804688,3.5999999046325684,0.0,50.0,760.0,16.1483,12.165142857142857,8.015592857142858,1.5176847270008544
